misty	"groove" holmes	7/16/66 Prestige	
the banana boat song	steve lawrence	coral	61761
uh-huh oh yeah	steve lawrence	coral	61950
walking proud	steve lawrence	columbia	42865
yet...i know	steve lawrence	columbia	43095
don't make me a story teller	steve mancha	Groovesville	1005
i don't want to lose you	steve mancha	Groovesville	1002
grandmother's song	steve martin	warner brothers	8503
king tut	steve martin	warner brothers	8577
abracadabra	steve miller band	capitol	5126
bongo bongo	steve miller band	capitol	5442
circle of love	steve miller band	capitol	5086
cool magic	steve miller band	capitol	5162
fly like an eagle	steve miller band	capitol	4372
give it up	steve miller band	capitol	5194
going to the country	steve miller band	capitol	2878
heart like a wheel	steve miller band	capitol	5068
i want to make the world turn around	steve miller band	capitol	5646
jet airliner	steve miller band	capitol	4424
jungle love	steve miller band	capitol	4466
living in the u.s.a.	steve miller band	capitol	3884
rock 'n me	steve miller band	capitol	4323
shangri-la	steve miller band	capitol	5407
swingtown	steve miller band	capitol	4496
take the money and run	steve miller band	capitol	4260
the joker	steve miller band	capitol	3732
wide river	steve miller band	sailor	859194
your cash ain't nothin' but trash	steve miller band	capitol	3837
don't fight it	steve perry	columbia	03192
foolish heart	steve perry	columbia	04693
oh sherrie	steve perry	columbia	04391
she's mine	steve perry	columbia	04496
strung out	steve perry	columbia	04598
flame	steve sperry	mercury	73905
every step of the way	steve walsh	kirshner	4288
you know the feelin’	steve wightman	farr	003
arc of a diver	steve winwood	island	49726
back in the high life again	steve winwood	island	28472
don’t you know what the night can do?	steve winwood	virgin	99290
freedom overspill	steve winwood	island	28595
hearts on fire	steve winwood	virgin	99234
higher love	steve winwood	island	28710
holding on	steve winwood	virgin	99261
one and only man	steve winwood	virgin	98892
roll with it	steve winwood	virgin	99326
still in the game	steve winwood	island	29940
talking back to the night	steve winwood	island	28122
the finer things	steve winwood	island	28498
valerie	steve winwood	island	28231
while you see a chance	steve winwood	island	49656
because i love you (the postman song)	stevie b	lmr	2724
dreamin’ of love	stevie b	lmr	74001
girl i am searching for you	stevie b	lmr	74005
i wanna be the one	stevie b	lmr	74003
i’ll be by your side	stevie b	lmr	2758
love and emotion	stevie b	lmr	2645
love me for life	stevie b	lmr	84006
spring love (come back to me)	stevie b	lmr	74002
after the glitter fades	stevie nicks	modern	7405
edge of seventeen	stevie nicks	modern	7401
has anyone ever written anything for you	stevie nicks	modern	99532
i can't wait	stevie nicks	modern	99565
if anyone falls	stevie nicks	modern	99832
leather and lace	stevie nicks	modern	7341
needles and pins	stevie nicks	mca	52772
nightbird	stevie nicks	modern	99799
rooms on fire	stevie nicks	modern	99216
sometimes (it's a bitch)	stevie nicks	modern	98758
stand back	stevie nicks	modern	99863
stop draggin' my heart around	stevie nicks	modern	7336
talk to me	stevie nicks	modern	99582
a place in the sun	stevie wonder	tamla	54139
alfie	stevie wonder	gordy	7076
another star	stevie wonder	tamla	54286
as	stevie wonder	tamla	54291
blowin’ in the wind	stevie wonder	tamla	54136
boogie on reggae woman	stevie wonder	tamla	54254
castles in the sand	stevie wonder	tamla	54090
do i do	stevie wonder	tamla	1612
don’t you worry ’bout a thing	stevie wonder	tamla	54245
fingertips (part 2)	stevie wonder	tamla	54080
for once in my life	stevie wonder	tamla	54174
go home	stevie wonder	tamla	1817
gotta have you	stevie wonder	motown	2081
heaven help us all	stevie wonder	tamla	54200
hey harmonica man	stevie wonder	tamla	54096
hey love	stevie wonder	tamla	54147
high heel sneakers	stevie wonder	tamla	54119
higher ground	stevie wonder	tamla	54235
i ain’t gonna stand for it	stevie wonder	tamla	54320
i don’t know why	stevie wonder	tamla	54180
i just called to say i love you	stevie wonder	motown	1745
i was made to love her	stevie wonder	tamla	54151
i wish	stevie wonder	tamla	54274
if you really love me	stevie wonder	tamla	54208
i’m wondering	stevie wonder	tamla	54157
keep on running	stevie wonder	tamla	54223
land of la la	stevie wonder	tamla	1846
lately	stevie wonder	tamla	54323
living for the city	stevie wonder	tamla	54242
love light in flight	stevie wonder	motown	1769
master blaster (jammin’)	stevie wonder	tamla	54317
my cherie amour	stevie wonder	tamla	54180
never had a dream come true	stevie wonder	tamla	54191
nothing’s too good for my baby	stevie wonder	tamla	54130
outside my window	stevie wonder	tamla	54308
overjoyed	stevie wonder	tamla	1832
part-time lover	stevie wonder	tamla	1808
pops we love you	stevie wonder	motown	1455
ribbon in the sky	stevie wonder	tamla	1639
send one your love	stevie wonder	tamla	54303
shoo-be-doo-be-doo-da-day	stevie wonder	tamla	54165
signed sealed delivered i’m yours	stevie wonder	tamla	54196
sir duke	stevie wonder	tamla	54281
skeletons	stevie wonder	motown	1907
superstition	stevie wonder	tamla	54226
superwoman (where were you when i needed you)	stevie wonder	tamla	54216
that girl	stevie wonder	tamla	1602
travlin’ man	stevie wonder	tamla	54147
uptight (everything’s alright)	stevie wonder	tamla	54124
we can work it out	stevie wonder	tamla	54202
with a child’s heart	stevie wonder	tamla	54130
workout stevie workout	stevie wonder	tamla	54086
yester-me yester-you yesterday	stevie wonder	tamla	54188
you are the sunshine of my life	stevie wonder	tamla	54232
you haven’t done nothin	stevie wonder	tamla	54252
you met your match	stevie wonder	tamla	54168
you will know	stevie wonder	motown	1919
get it	stevie wonder & michael jackson	motown	1930
fly away	stevie woods	cotillion	47006
just can’t win ’em all	stevie woods	cotillion	46030
steal the night	stevie woods	cotillion	46016
mind bender	stillwater	capricorn	0280
all for love	sting	a&m	0476
all this time	sting	a&m	1541
be still my beating heart	sting	a&m	2992
englishman in new york	sting	a&m	1200
fields of gold	sting	a&m	0258
fortress around your heart	sting	a&m	2767
if i ever lose my faith in you	sting	a&m	0111
if you love somebody set them free	sting	a&m	2738
love is the seventh wave	sting	a&m	2787
nothing ’bout me	sting	a&m	0350
russians	sting	a&m	2799
we’ll be together	sting	a&m	2983
why should i cry for you	sting	a&m	1560
brazos river breakdown	stix hooper	MCA	41165
quarter to four stomp	stompers	landa	684
strut your stuff	stone city band	Gordy	7179
different drum	stone poneys	capitol	2004
plush	stone temple pilots	atlantic album	cut
i will still love you	stonebolt	parachute	512
love struck	stonebolt	parachute	522
igmoo (the pride of central high)	stonewall jackson	columbia	41488
mary don’t you weep	stonewall jackson	columbia	41533
waterloo	stonewall jackson	columbia	41393
what you see is what you get	stoney & meatloaf	rare earth	5027
bad motorcycle	storey sisters	cameo	126
another love	stories	kama sutra	594
brother louie	stories	kama sutra	577
if it feels good do it	stories	kama sutra	588
i’m coming home	stories	kama sutra	545
mammy blue	stories	kama sutra	584
bend me shape me	storm	sunflower	113
i’ve got a lot to learn about love	storm	interscope	98726
show me the way	storm	interscope	98616
cara-lin	strangeloves	bang	508
honey do	strangeloves	sire	4102
i want candy	strangeloves	bang	501
night time	strangeloves	bang	514
barefoot in baltimore	strawberry alarm clock	uni	55076
good morning starshine	strawberry alarm clock	uni	55125
incense and peppermints	strawberry alarm clock	uni	55018
sea shell	strawberry alarm clock	uni	55093
sit with guru	strawberry alarm clock	uni	55055
tomorrow	strawberry alarm clock	uni	55046
(she’s) sexy + 17	stray cats	emi america	8168
i won’t stand in your way	stray cats	emi america	8185
look at that cadillac	stray cats	emi america	8194
rock this town	stray cats	emi america	8132
stray cat strut	stray cats	emi america	8122
one more night	streek	columbia	02529
hey, did you give some love today?	street christians	Pip	8928
come and get this love	street fare	Atlantic	89162
jennifer tomkins	street people	musicor	1365
you're my one weakness girl	street people	Vigor	1728
body music	strikers	Prelude	8025
brass buttons	string-a-longs	warwick	625
should i	string-a-longs	warwick	654
wheels	string-a-longs	warwick	603
always there for you	stryper	enigma	75019
honestly	stryper	enigma	75009
madelaine	stu nunnery	evolution	1086
sally from syracuse	stu nunnery	evolution	1084
my ever changing moods	style council	geffen	29359
betcha by golly wow	stylistics	avco	4591
break up to make up	stylistics	avco	4611
can’t give you anything (but my love)	stylistics	avco	4656
funky weekend	stylistics	avco	4661
heavy failin’ out	stylistics	avco	4647
i’m stone in love with you	stylistics	avco	4603
let’s put it all together	stylistics	avco	4640
me - u = blue	stylistics	mca	53945
people make the world go round	stylistics	avco	4595
rockin’ roll baby	stylistics	avco	4625
star on a tv show	stylistics	avco	4649
stop look listen (to your heart)	stylistics	avco embassy	4572
thank you baby	stylistics	avco	4652
you are beautiful	stylistics	avco	4664
you are everything	stylistics	avco	4581
you make me feel brand new	stylistics	avco	4634
you’ll never get to heaven (if you break my heart)	stylistics	avco	4618
you’re a big girl now	stylistics	avco embassy	4555
babe	styx	a&m	2188
blue collar man (long nights)	styx	a&m	2087
borrowed time	styx	a&m	2228
come sail away	styx	a&m	1977
don’t let it end	styx	a&m	2543
fooling yourself (the angry young man)	styx	a&m	2007
high time	styx	a&m	2568
lady	styx	wooden nickel	10102
lorelei	styx	a&m	1786
love at first sight	styx	a&m	1548
love is a ritual	styx	a&m	1525
mademoiselle	styx	a&m	1877
mr. roboto	styx	a&m	2525
music time	styx	a&m	2625
nothing ever goes as planned	styx	a&m	2348
renegade	styx	a&m	2110
show me the way	styx	a&m	1536
sing for the day	styx	a&m	2110
the best of times	styx	a&m	2300
too much time on my hands	styx	a&m	2323
why me	styx	a&m	2206
you need love	styx	wooden nickel	10272
my girl	suave	capitol	44124
shake your body	suave	Capitol	44178
fire	subway	Biv 10	0338
this lil' game we play	subway (featuring 702)	Biv 10	0252
comin' on strong	sudden change	EastWest	98334
biology	sue raney	capitol	4360
have a good time	sue thompson	hickory	1174
james (hold the ladder steady)	sue thompson	hickory	1183
norman	sue thompson	hickory	1159
paper tiger	sue thompson	hickory	1284
sad movies (make me cry)	sue thompson	hickory	1153
two of a kind	sue thompson	hickory	1166
willie can	sue thompson	hickory	1196
you are the one	sugar bears	big tree	122
sugar pie	sugar billy	Fast Track	2503
super duper love - part 1 (are you diggin' on me)	sugar billy	Fast Track	2501
i want to know	sugar pie desanto	check	103
slip-in mules (no high heel sneakers)	sugar pie desanto	Checker	1073
slip-in-mules (no high heel sneakers)	sugar pie desanto	checker	1073
8th wonder	sugarhill gang	sugar hill	553
apache	sugarhill gang	sugar hill	774
kick it live from 9 to 5	sugarhill gang	Sugar Hill	459
rapper’s delight	sugarhill gang	sugar hill	542
don’t call us we’ll call you	sugarloaf	claridge	402
green-eyed lady	sugarloaf	liberty	56183
mother nature’s wine	sugarloaf	united artists	50784
tongue in cheek	sugarloaf	liberty	56218
why do fools fall in love	summer wine	sire	701
norma jean wants to be a movie star	sundown company	polydor	14312
peanuts (la cacahuata)	sunny & the sunglows	sunglow	107
rags to riches	sunny & the sunglows	tear drop	3022
talk to me	sunny & the sunglows	tear drop	3014
goodnight sweetheart goodnight	sunny gale	rca	5746
smile	sunny gale	rca	5836
wheel of fortune	sunny gale	derby	787
andrea	sunrays	tower	191
i live for the sun	sunrays	tower	148
still	sunrays	tower	224
love u more	sunscream	columbia	74769
back on the street again	sunshine company	imperial	66260
happy	sunshine company	imperial	66247
look here comes the sun	sunshine company	imperial	66280
the show stoppa	super nature	Pop Art	1413
baby baby all the time	superbs	dore	715
wide shot	superior movement	CIM	02906
bloody well right	supertramp	a&m	1660
breakfast in america	supertramp	a&m	2292
cannonball	supertramp	a&m	2731
dreamer	supertramp	a&m	2269
give a little bit	supertramp	a&m	1938
goodbye stranger	supertramp	a&m	2162
it’s raining again	supertramp	a&m	2502
my kind of lady	supertramp	a&m	2517
take the long way home	supertramp	a&m	2193
the logical song	supertramp	a&m	2128
a breath taking guy	supremes	motown	1044
automatically sunshine	supremes	motown	1200
baby love	supremes	motown	1066
back in my arms again	supremes	motown	1075
bad weather	supremes	motown	1225
come see about me	supremes	motown	1068
everybody’s got the right to love	supremes	motown	1167
floy joy	supremes	motown	1195
forever came today	supremes	motown	1122
i guess i’ll lose the man	supremes	motown	1213
i hear a symphony	supremes	motown	1083
in and out of love	supremes	motown	1116
i’ll try something new	supremes	motown	1142
i’m gonna make you love me	supremes	motown	1137
i’m livin’ in shame	supremes	motown	1139
let me go the right way	supremes	motown	1034
love child	supremes	motown	1135
love is here and now you’re gone	supremes	motown	1103
love is like an itching in my heart	supremes	motown	1094
my world is empty without you	supremes	motown	1089
nathan jones	supremes	motown	1182
no matter what sign you are	supremes	motown	1148
nothing but heartaches	supremes	motown	1080
reflections	supremes	motown	1111
river deep - mountain high	supremes	motown	1173
run run run	supremes	motown	1054
some things you never get used to	supremes	motown	1126
someday we’ll be together	supremes	motown	1156
stoned love	supremes	motown	1172
stop! in the name of love	supremes	motown	1074
the composer	supremes	motown	1146
the happening	supremes	motown	1107
the weight	supremes	motown	1153
the young folks	supremes	motown	1148
touch	supremes	motown	1190
up the ladder to the roof	supremes	motown	1162
when the lovelight starts shining through his eyes	supremes	motown	1051
